id,station_name,code,longitude,latitude,elevation,Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
43466,COLOMBO,3,79.87,6.9,7,2016,5,24,25.8,26.9,26.3,24.1,24.9,26.1,25,25.2,24.7,24.5,24,24.6,25.6,25.1,23.9,25.5,26.8,27.9,26.6,26.5,27.6,27.6,26.3,26.6,26.3,26.5,23.9,25.9,28.1,27.2
43466,COLOMBO,3,79.87,6.9,7,2016,6,25.2,26.8,28.3,27.3,28.2,27.2,26.8,24.7,25.4,24.7,26.5,26.7,25,28,28,28,28.1,27.6,27.1,26.5,24.3,27.2,26.9,27.1,27.2,26.3,27,26.7,27.4,27.4,
43466,COLOMBO,3,79.87,6.9,7,2016,7,27.1,27.5,26.9,27.3,26.8,27.7,27.2,28.1,27.8,25.1,26,24.1,23.3,27.1,26.3,25.9,24.9,26,26.5,26.8,27.1,26.6,27,26.2,25.5,26,25.3,25.6,26.7,26.4,25.6
43466,COLOMBO,3,79.87,6.9,7,2016,8,26.9,26.7,26.7,26.9,26.9,27.4,27.3,27.4,27.3,27.5,27.3,27.6,27.5,27.6,27.4,27.2,27.5,27.2,27.4,27,27.2,27.4,27,26.8,26.9,26.6,26.7,26.3,26.9,26.7,26.9
43466,COLOMBO,3,79.87,6.9,7,2016,9,25.6,26.4,26.2,26.5,26.2,26.8,26.5,26.2,26.3,26.6,26.6,26.7,26.8,26.8,26.9,26.6,26.6,26.8,26.8,27,26.7,26.8,26.9,26.8,26.7,27,27,27,25.9,24.8,
43466,COLOMBO,3,79.87,6.9,7,2016,10,26.7,27.1,26.1,25.3,26.8,27.2,26.9,26.9,26.6,27.4,27.2,27.1,27,24.2,25.7,23.9,24.6,25,24.8,25.1,25.7,26.6,25.1,24.4,22.5,24.7,24.6,24.9,25.9,26.3,24.5
43466,COLOMBO,3,79.87,6.9,7,2016,11,24,23.6,24.9,24.5,23.8,24.8,23.5,24.6,24.5,24.1,24.2,25.9,24.4,25.8,24.7,23.9,23.2,23.6,23.9,24.7,23.9,24.4,23.9,24.4,24.7,25.2,24.4,23.7,23.2,24.7,
43466,COLOMBO,3,79.87,6.9,7,2016,12,23,24.9,23.5,25.6,23.7,24.2,24.4,25.1,26.1,24.7,25.1,27.2,26.8,24.3,23,24.2,24.6,24.2,24.6,25.3,24.6,24.5,23.2,19.9,20.5,22.5,25.6,24.3,23.5,22.7,24.2
43466,COLOMBO,3,79.87,6.9,7,2017,1,24.4,24.5,25.5,22.7,20.1,21.6,21.1,20.1,21.7,20.7,22.2,20.5,21.3,21.5,22,24.3,22,22.3,22.9,24.1,24.5,24.5,24.7,23.3,24.2,24.4,24.2,23.8,22.4,25,23.8
43466,COLOMBO,3,79.87,6.9,7,2017,2,22.6,22.5,21.7,21.6,21.7,22.7,21.1,21.7,22.3,22.4,23,23.4,22.6,24,24.8,24.2,24.3,23.8,25.5,23.6,22.7,23.7,24.9,24.9,24.3,24.4,24.2,24.5,,,
43466,COLOMBO,3,79.87,6.9,7,2017,3,25,23.9,24.6,23.9,24.2,25.8,26.3,26.1,25.6,25.1,24.3,24.3,24.9,24.4,23.3,23.3,24,25.1,25.7,25.8,25.3,25.5,25,25.3,24.6,23.7,25.3,24.8,25.1,24.2,26
43466,COLOMBO,3,79.87,6.9,7,2017,4,25.5,26,25.7,25.4,25.7,26,27.3,26.7,26.5,25.9,27.2,23.3,24.8,25.2,27.3,28.9,29,28.8,28.8,28.7,28.3,27.3,28.9,29.1,27.9,28.5,27.2,27.5,27.5,26.5,
43466,COLOMBO,3,79.87,6.9,7,2017,5,26.2,26.4,26.9,26.8,26.3,26.9,25.8,24.7,26,23.9,25.2,26.5,26.9,28.8,27,28.2,29.3,29.4,22.9,27.3,28.2,27.7,28.5,27.9,23.3,24.6,24.8,28.1,26,25,25.5
43466,COLOMBO,3,79.87,6.9,7,2017,6,27.3,27.3,25,26,27,27.5,26.4,27.6,27.6,26.5,26.1,25.9,27.3,26.6,25.9,26.1,25.6,27,27.5,27.8,27.3,27.3,24.4,25.1,24.7,25.5,24.8,24.4,26.3,27.7,
43466,COLOMBO,3,79.87,6.9,7,2017,7,28,27,27.2,27.4,27.1,27.9,27.7,27.5,27.4,24.5,26.6,27.2,27.4,27.2,27.7,27.6,27.6,27.8,25.8,24.6,24,25.9,28.3,28.3,28,27.9,27.7,27.7,27.5,27.7,27.9
43466,COLOMBO,3,79.87,6.9,7,2017,8,27.2,27.1,27.7,27.4,27.4,27.3,26.9,26.8,27.2,26.9,26.8,26.1,27,27.2,26.5,25.8,27.1,25.3,25.4,24.3,25.8,24.5,27.2,27.4,27.4,27,27.4,24.8,26.3,26.4,27.5
43466,COLOMBO,3,79.87,6.9,7,2017,9,26.5,24,26.9,27,26.5,25.3,23.7,24.6,25.6,26,25.5,26,25.2,23.3,24.2,27.3,27.6,26.1,27.2,27.5,25.7,26.6,26.8,26.7,26.8,25.6,24.8,24.4,26.7,25.6,
