Date,City,Wind Speed,Relative Humidity,Dewpoint,Precipitation,Sea level pressure,Evapotranspiration
2019-05-05,Colombo,10.6578045,65.08844,11.168905,0.31043836,1018.6738,3.687953
2019-05-06,Colombo,13.191916,67.168396,13.347654,1.7132931,1011.8399,3.902834
2019-05-07,Colombo,12.903739,66.248344,13.485916,1.4847383,1009.706,4.1129727
2019-05-08,Colombo,11.037638,72.328285,12.007962,0.23523338,1010.8722,3.770188
2019-05-09,Colombo,9.480015,78.40824,14.700668,4.8780317,995.23834,3.803477
2019-05-10,Colombo,15.1988945,66.48818,9.629447,2.8420045,988.5044,3.1980186
2019-05-11,Colombo,13.008912,73.56814,3.634273,2.9308085,996.5705,2.0006845
2019-05-12,Colombo,16.850887,61.64808,2.0016282,0.07947732,1008.43665,2.4498987
2019-05-13,Colombo,5.734724,58.728027,2.1752717,0.0,1011.10266,3.7718184
2019-05-14,Colombo,10.216134,64.807976,3.83089,0.1600187,1012.06885,2.7731466
2019-05-15,Colombo,13.436491,62.887924,5.076832,0.0,1014.63495,3.1829917
2019-05-16,Colombo,6.0910716,66.96787,8.928124,0.0,1018.40106,4.7079673
2019-05-17,Colombo,7.388817,56.04782,9.092993,0.0,1017.7672,4.334028
2019-05-18,Colombo,15.130569,60.127777,10.6394615,0.0,1014.0334,3.8401182
2019-05-19,Colombo,17.743288,72.207726,13.101444,2.6840975,1006.49945,3.5974953
2019-05-20,Colombo,16.487667,65.28767,13.185713,2.2848322,1005.6655,3.2527235
2019-05-21,Colombo,18.466516,51.367615,7.6994705,0.16373168,1008.1317,3.9036345
2019-05-22,Colombo,19.155207,53.447563,6.369099,0.8213033,1010.89777,3.9242578
2019-05-23,Colombo,12.689011,45.52752,1.7864301,0.0,1011.06396,3.8174596
2019-05-24,Colombo,10.75992,61.607468,5.6955934,0.16531761,1009.63007,2.9617891
2019-05-25,Colombo,9.149321,49.68741,4.9735823,0.33169112,1010.29614,4.667325
2019-05-26,Colombo,11.461414,52.76735,6.3634677,0.3327463,1005.56226,4.0574446
2019-05-27,Colombo,10.829967,71.847305,8.822723,4.9235616,1002.22833,3.3285556
2019-05-28,Colombo,12.826985,56.927254,6.8786936,0.0,1009.79456,4.1335278
2019-05-29,Colombo,7.9108257,62.007195,9.543086,0.16795382,1012.2606,4.1033607
2019-05-30,Colombo,6.6068563,58.08715,10.268162,0.084240004,1009.6268,5.203289
2019-05-31,Colombo,6.952521,69.16709,10.223588,0.5915204,1016.99286,3.6183267
2019-06-01,Colombo,13.604071,55.24704,8.380536,0.0,1023.35895,4.3966002
2019-06-02,Colombo,5.3207264,49.32699,10.467525,0.0,1021.3251,5.619327
2019-06-03,Colombo,14.331417,47.406944,12.564296,0.0,1018.5912,5.092213
2019-06-04,Colombo,17.369917,43.486885,12.418027,0.0,1017.45734,4.7752757
2019-06-05,Colombo,17.74385,46.56684,12.845366,0.085814886,1018.22345,4.2198915
2019-06-06,Colombo,15.099623,68.64678,14.007521,2.410149,1020.7896,3.4916039
2019-06-07,Colombo,11.770833,55.72673,11.875202,0.1726769,1023.45575,4.571103
2019-06-08,Colombo,7.415688,75.80669,14.218972,13.076596,1018.1217,3.5288508
2019-06-09,Colombo,13.176105,65.88663,10.174628,0.260584,1023.28784,3.3894231
2019-06-10,Colombo,16.254044,58.966576,7.657627,0.0871225,1023.05396,3.483984
2019-06-11,Colombo,16.291582,61.046524,9.142382,0.0,1022.52014,4.0003223
2019-06-12,Colombo,14.968581,54.126465,9.495296,0.0,1023.58624,4.3831935
2019-06-13,Colombo,11.593568,50.20642,9.584424,0.0,1021.4524,4.986292
2019-06-14,Colombo,4.7849846,42.286377,10.443084,0.0,1012.31854,6.4257884
2019-06-15,Colombo,11.647964,67.36632,14.887303,4.6865654,1004.78455,3.5786383
2019-06-16,Colombo,10.988638,63.44626,11.65889,11.351797,998.6507,3.6409476
2019-06-17,Colombo,17.554605,56.526207,4.8171163,4.358348,1006.1168,2.7975588
2019-06-18,Colombo,14.836136,56.606155,4.5097647,2.1409357,1015.58295,3.1438386
2019-06-19,Colombo,10.721357,51.68611,4.233994,0.26839584,1014.94904,3.9525275
2019-06-20,Colombo,11.093744,68.76606,8.860092,2.0636687,1009.8152,2.9904199
2019-06-21,Colombo,4.8652,78.84601,11.595748,10.79808,1009.7814,3.2590616
2019-06-22,Colombo,8.708865,64.92595,10.131803,0.81218797,1015.5475,3.858698
2019-06-23,Colombo,15.364827,57.005898,5.6129994,1.7195388,1019.1135,2.882906
2019-06-24,Colombo,15.052248,49.085846,4.941736,0.3630432,1019.57965,3.918348
2019-06-25,Colombo,11.229109,58.165794,9.595594,0.91019386,1011.7457,3.4566073
2019-06-26,Colombo,11.25673,69.24574,11.62971,2.7383344,1011.61194,3.3770459
2019-06-27,Colombo,7.7581205,65.3257,13.4659195,9.428214,1005.07806,3.776912
2019-06-28,Colombo,12.373087,59.40564,9.05569,0.7343531,1008.8441,3.46325
2019-06-29,Colombo,14.530304,72.48559,10.149605,2.0251453,1015.4102,3.074059
2019-06-30,Colombo,13.856101,70.56554,9.885305,0.5538587,1021.07635,3.5859811
2019-07-01,Colombo,7.4797306,60.64548,11.346565,0.092567354,1017.8424,4.755774
2019-07-02,Colombo,9.641075,73.72543,13.2608385,17.358229,1015.10864,3.2973814
2019-07-03,Colombo,8.947216,62.77769,12.267622,0.09305047,1016.87683,4.602372
2019-07-04,Colombo,8.593147,63.636112,14.755788,2.140278,1013.26044,4.5400753
2019-07-05,Colombo,7.1641397,69.494545,17.38913,2.1403964,1012.54395,4.617705
2019-07-06,Colombo,11.826085,79.352974,19.550955,3.5365021,1010.2274,4.2212367
2019-07-07,Colombo,11.831341,60.2114,16.789494,1.0237813,1005.811,4.7326326
2019-07-08,Colombo,12.195285,84.06983,18.304134,4.8399634,1004.4945,2.8085725
2019-07-09,Colombo,11.124171,82.92825,18.305529,26.248966,1004.57794,3.1798732
2019-07-10,Colombo,14.001143,64.78668,13.148905,2.9787738,1009.9616,3.888748
2019-07-11,Colombo,16.16234,61.645103,12.8365345,0.0,1014.645,4.4188333
2019-07-12,Colombo,7.5457764,63.503532,15.476325,0.0,1011.9285,4.7054195
2019-07-13,Colombo,10.784467,76.36197,17.393301,4.282717,1010.212,3.323535
2019-07-14,Colombo,8.271763,86.2204,18.908913,13.221321,1009.79553,3.0170422
2019-07-15,Colombo,6.8362293,81.07882,19.159147,6.4248157,1011.6791,3.760907
2019-07-16,Colombo,11.1588,62.93725,15.782635,0.18623732,1014.8627,4.3606086
2019-07-17,Colombo,7.202421,77.79567,13.244483,18.06607,1015.8462,3.016851
2019-07-18,Colombo,12.970111,64.654106,10.308572,0.18625902,1019.0296,3.1056783
2019-07-19,Colombo,9.01102,71.51253,12.358289,0.6519448,1014.7131,3.889612
2019-07-20,Colombo,9.015017,71.370964,13.843067,1.3039665,1017.9967,3.7022312
2019-07-21,Colombo,11.1835785,66.229385,12.58148,0.09314599,1021.58026,3.9569983
2019-07-22,Colombo,5.7747307,61.087814,14.46793,0.0,1017.7637,4.9474506
2019-07-23,Colombo,8.304856,64.94624,15.165651,2.7015557,1015.0472,3.773644
2019-07-24,Colombo,7.5860577,71.80467,17.129732,1.211115,1013.63074,3.814196
2019-07-25,Colombo,5.7824163,71.66309,15.462861,2.8882177,1010.11426,4.0584865
2019-07-26,Colombo,14.462446,63.521523,11.93676,0.18634793,1016.29785,3.4815624
2019-07-27,Colombo,9.043036,61.37995,13.965538,0.0,1017.08124,4.4063296
2019-07-28,Colombo,6.875753,64.23837,15.934959,0.46592668,1018.4648,4.2815957
2019-07-29,Colombo,9.4130945,65.0968,13.197338,0.18638214,1023.74835,4.0191913
2019-07-30,Colombo,11.952683,60.95523,11.136382,0.0,1025.532,3.813565
2019-07-31,Colombo,7.6096225,63.81366,13.458699,0.0,1022.21533,4.5958524
2019-08-01,Colombo,8.33804,56.67209,15.659335,0.0,1013.69885,5.5167685
2019-08-02,Colombo,10.517838,76.53052,17.605356,1.0253571,1013.0824,3.2570212
2019-08-03,Colombo,14.150943,70.38895,15.189191,0.0,1014.56586,3.4309528
2019-08-04,Colombo,11.253165,69.24737,15.3284445,0.0,1012.34937,3.889208
2019-08-05,Colombo,7.9896526,65.1058,16.448177,0.5593918,1008.53296,4.468313
2019-08-06,Colombo,8.719842,66.96422,13.320836,1.9579965,1007.31647,3.7112095
2019-08-07,Colombo,19.991816,61.822655,10.596602,0.46621954,1012.89996,2.6632211
2019-08-08,Colombo,15.636884,70.68108,12.905311,0.5594996,1015.0834,3.0590074
2019-08-09,Colombo,12.369517,80.53951,15.350136,0.37302387,1018.467,2.6598194
2019-08-10,Colombo,8.735286,70.39794,14.07297,0.37304816,1020.85046,3.5822992
2019-08-11,Colombo,9.831544,59.256363,12.617494,0.0,1022.1339,4.1358457
2019-08-12,Colombo,10.928769,64.11479,14.971207,0.09327429,1022.31757,4.5283027
2019-08-13,Colombo,12.026962,50.97322,12.490791,0.0,1023.5011,4.063188
2019-08-14,Colombo,14.949194,59.831642,14.11983,0.0,1023.98456,3.952816
2019-08-15,Colombo,16.77968,65.69007,13.814055,0.0,1021.9681,3.3765686
2019-08-16,Colombo,17.881912,58.5485,13.143083,0.09329912,1023.1516,3.7539902
2019-08-17,Colombo,14.2388315,53.40693,11.40701,0.0,1024.635,3.8668275
2019-08-18,Colombo,12.784085,53.265358,11.898378,0.0,1024.1187,3.8656218
2019-08-19,Colombo,13.520577,57.123787,13.382634,0.0,1021.2021,4.0832067
2019-08-20,Colombo,13.892132,58.98221,14.333186,0.0,1019.5857,3.8894343
2019-08-21,Colombo,13.898269,56.840637,13.829632,0.0,1019.1692,3.9554176
2019-08-22,Colombo,12.440785,55.699066,13.191173,0.0,1020.25275,3.8488605
2019-08-23,Colombo,9.883811,52.557495,12.345915,0.0,1018.5362,4.1963186
2019-08-24,Colombo,9.155717,70.41592,14.987035,0.09335033,1015.6197,3.5917678
2019-08-25,Colombo,11.3581,66.274345,14.850285,0.46678442,1014.00323,3.6307845
2019-08-26,Colombo,6.5979376,52.132774,11.848571,0.093363464,1015.08673,3.7910326
2019-08-27,Colombo,9.167847,68.99121,13.81284,3.828173,1009.97034,2.6335106
2019-08-28,Colombo,16.509407,67.84963,9.306069,4.7622128,1009.2537,1.8861748
2019-08-29,Colombo,23.490406,60.70806,8.837728,0.5603005,1011.53723,2.1935992
2019-08-30,Colombo,24.235168,62.56649,9.433423,0.74712104,1011.3208,2.3850014
2019-08-31,Colombo,19.837519,76.42492,12.697532,1.6811439,1010.90436,1.6353085
2019-09-01,Colombo,13.965894,84.28334,13.590264,8.40633,1009.78784,1.8867154
2019-09-02,Colombo,11.391993,78.188576,13.377259,3.3579319,1010.6869,2.3652442
2019-09-03,Colombo,9.5378685,80.23422,14.447174,0.46373096,1013.6325,2.4682403
2019-09-04,Colombo,6.225462,70.279854,13.533599,0.18443912,1013.17816,3.1688743
2019-09-05,Colombo,14.622846,73.32549,15.166486,0.4584798,1008.9237,2.601517
2019-09-06,Colombo,16.422462,78.37114,17.259043,0.54705215,1005.9693,2.6764808
2019-09-07,Colombo,12.386914,87.41678,15.751634,7.3432765,1008.615,2.1318018
2019-09-08,Colombo,13.457022,82.46243,12.223051,1.7127181,1016.4605,1.5617896
2019-09-09,Colombo,12.708162,85.508064,11.820644,0.71705043,1016.2062,1.7931219
2019-09-10,Colombo,7.974607,96.55371,14.634266,5.971205,1014.5518,1.5104094
2019-09-11,Colombo,4.7044215,78.59935,12.933647,0.177233,1020.99744,2.5661597
2019-09-12,Colombo,3.9740767,74.645,12.282405,0.0,1023.14307,3.1360662
2019-09-13,Colombo,7.574391,70.690636,14.388538,0.0,1016.8886,3.0304239
2019-09-14,Colombo,12.963439,77.736275,11.235892,0.6098093,1022.03424,2.2414918
2019-09-15,Colombo,8.987755,73.78192,10.374782,0.0,1021.47986,2.6365757
2019-09-16,Colombo,7.8964453,68.82756,14.848802,0.0,1010.4255,3.4149933
2019-09-17,Colombo,17.917637,68.87321,9.696969,0.2569193,1020.57117,1.7366455
