HCHO Reading,Location,Current Date,Next Date
9.165608034246397e-05,"Deniyaya, Matara",2019-06-02,2019-06-03
1.9475669421135314e-05,"Deniyaya, Matara",2019-06-03,2019-06-04
9.165608034246397e-05,"Deniyaya, Matara",2019-06-04,2019-06-05
9.165608034246397e-05,"Deniyaya, Matara",2019-06-05,2019-06-06
9.165608034246397e-05,"Deniyaya, Matara",2019-06-06,2019-06-07
9.165608034246397e-05,"Deniyaya, Matara",2019-06-07,2019-06-08
9.165608034246397e-05,"Deniyaya, Matara",2019-06-08,2019-06-09
8.82573060809885e-05,"Deniyaya, Matara",2019-06-09,2019-06-10
9.165608034246397e-05,"Deniyaya, Matara",2019-06-10,2019-06-11
0.00026065366002871675,"Deniyaya, Matara",2019-06-11,2019-06-12
9.165608034246397e-05,"Deniyaya, Matara",2019-06-12,2019-06-13
0.00010348961229572161,"Deniyaya, Matara",2019-06-13,2019-06-14
9.165608034246397e-05,"Deniyaya, Matara",2019-06-14,2019-06-15
9.794863285570833e-05,"Deniyaya, Matara",2019-06-15,2019-06-16
0.00012177252251177269,"Deniyaya, Matara",2019-06-16,2019-06-17
9.165608034246397e-05,"Deniyaya, Matara",2019-06-17,2019-06-18
9.165608034246397e-05,"Deniyaya, Matara",2019-06-19,2019-06-20
3.6265472533894716e-05,"Deniyaya, Matara",2019-06-20,2019-06-21
9.165608034246397e-05,"Deniyaya, Matara",2019-06-21,2019-06-22
9.165608034246397e-05,"Deniyaya, Matara",2019-06-22,2019-06-23
9.165608034246397e-05,"Deniyaya, Matara",2019-06-23,2019-06-24
9.165608034246397e-05,"Deniyaya, Matara",2019-06-24,2019-06-25
3.066723729716614e-05,"Deniyaya, Matara",2019-06-25,2019-06-26
5.9384765930813476e-05,"Deniyaya, Matara",2019-06-26,2019-06-27
0.00015018806201124097,"Deniyaya, Matara",2019-06-27,2019-06-28
8.485600456102689e-08,"Deniyaya, Matara",2019-06-28,2019-06-29
1.8658707556202234e-05,"Deniyaya, Matara",2019-06-29,2019-06-30
8.076289701838124e-05,"Deniyaya, Matara",2019-06-30,2019-07-01
0.00015651280409656465,"Deniyaya, Matara",2019-07-01,2019-07-02
7.822883224906507e-05,"Deniyaya, Matara",2019-07-02,2019-07-03
9.165608034246397e-05,"Deniyaya, Matara",2019-07-03,2019-07-04
6.491148472259721e-05,"Deniyaya, Matara",2019-07-04,2019-07-05
0.00010156581932474287,"Deniyaya, Matara",2019-07-05,2019-07-06
0.0001854224783202885,"Deniyaya, Matara",2019-07-06,2019-07-07
9.519535246307653e-05,"Deniyaya, Matara",2019-07-07,2019-07-08
0.00012211802341409125,"Deniyaya, Matara",2019-07-08,2019-07-09
9.165608034246397e-05,"Deniyaya, Matara",2019-07-09,2019-07-10
3.5168823276630766e-05,"Deniyaya, Matara",2019-07-10,2019-07-11
9.399985364620809e-05,"Deniyaya, Matara",2019-07-11,2019-07-12
9.815205823701607e-05,"Deniyaya, Matara",2019-07-12,2019-07-13
0.00015518276687108404,"Deniyaya, Matara",2019-07-13,2019-07-14
3.06090383772373e-05,"Deniyaya, Matara",2019-07-14,2019-07-15
9.165608034246397e-05,"Deniyaya, Matara",2019-07-15,2019-07-16
3.9205342571432974e-05,"Deniyaya, Matara",2019-07-16,2019-07-17
9.165608034246397e-05,"Deniyaya, Matara",2019-07-17,2019-07-18
9.165608034246397e-05,"Deniyaya, Matara",2019-07-18,2019-07-19
9.165608034246397e-05,"Deniyaya, Matara",2019-07-19,2019-07-20
9.165608034246397e-05,"Deniyaya, Matara",2019-07-20,2019-07-21
9.165608034246397e-05,"Deniyaya, Matara",2019-07-21,2019-07-22
9.165608034246397e-05,"Deniyaya, Matara",2019-07-22,2019-07-23
2.7530496770538245e-05,"Deniyaya, Matara",2019-07-23,2019-07-24
1.917795009592158e-06,"Deniyaya, Matara",2019-07-24,2019-07-25
9.165608034246397e-05,"Deniyaya, Matara",2019-07-25,2019-07-26
1.6406873869175554e-05,"Deniyaya, Matara",2019-07-27,2019-07-28
0.00013392880130772166,"Deniyaya, Matara",2019-07-29,2019-07-30
3.6934841833654336e-05,"Deniyaya, Matara",2019-07-31,2019-08-01
6.79387627216613e-05,"Deniyaya, Matara",2019-08-01,2019-08-02
9.165608034246397e-05,"Deniyaya, Matara",2019-08-02,2019-08-03
0.00010271135768073782,"Deniyaya, Matara",2019-08-03,2019-08-04
7.763261304247379e-05,"Deniyaya, Matara",2019-08-04,2019-08-05
5.245533362906521e-05,"Deniyaya, Matara",2019-08-05,2019-08-06
9.165608034246397e-05,"Deniyaya, Matara",2019-08-06,2019-08-07
9.165608034246397e-05,"Deniyaya, Matara",2019-08-07,2019-08-08
9.165608034246397e-05,"Deniyaya, Matara",2019-08-08,2019-08-09
9.165608034246397e-05,"Deniyaya, Matara",2019-08-09,2019-08-10
9.165608034246397e-05,"Deniyaya, Matara",2019-08-10,2019-08-11
9.165608034246397e-05,"Deniyaya, Matara",2019-08-11,2019-08-12
9.165608034246397e-05,"Deniyaya, Matara",2019-08-13,2019-08-14
9.165608034246397e-05,"Deniyaya, Matara",2019-08-14,2019-08-15
9.165608034246397e-05,"Deniyaya, Matara",2019-08-15,2019-08-16
9.165608034246397e-05,"Deniyaya, Matara",2019-08-16,2019-08-17
9.165608034246397e-05,"Deniyaya, Matara",2019-08-17,2019-08-18
4.8707759228402166e-05,"Deniyaya, Matara",2019-08-18,2019-08-19
1.187302498785714e-05,"Deniyaya, Matara",2019-08-19,2019-08-20
0.00023739408061373982,"Deniyaya, Matara",2019-08-20,2019-08-21
9.165608034246397e-05,"Deniyaya, Matara",2019-08-21,2019-08-22
9.165608034246397e-05,"Deniyaya, Matara",2019-08-22,2019-08-23
9.165608034246397e-05,"Deniyaya, Matara",2019-08-23,2019-08-24
9.165608034246397e-05,"Deniyaya, Matara",2019-08-24,2019-08-25
9.165608034246397e-05,"Deniyaya, Matara",2019-08-25,2019-08-26
9.165608034246397e-05,"Deniyaya, Matara",2019-08-26,2019-08-27
9.165608034246397e-05,"Deniyaya, Matara",2019-08-27,2019-08-28
9.165608034246397e-05,"Deniyaya, Matara",2019-08-28,2019-08-29
6.798230223314625e-05,"Deniyaya, Matara",2019-08-29,2019-08-30
0.0001003325498068521,"Deniyaya, Matara",2019-08-30,2019-08-31
9.165608034246397e-05,"Deniyaya, Matara",2019-08-31,2019-09-01
9.165608034246397e-05,"Deniyaya, Matara",2019-09-01,2019-09-02
6.411903520786512e-05,"Deniyaya, Matara",2019-09-02,2019-09-03
9.78157384524139e-05,"Deniyaya, Matara",2019-09-03,2019-09-04
9.791662909121674e-05,"Deniyaya, Matara",2019-09-04,2019-09-05
9.165608034246397e-05,"Deniyaya, Matara",2019-09-05,2019-09-06
9.165608034246397e-05,"Deniyaya, Matara",2019-09-06,2019-09-07
7.900931868731356e-05,"Deniyaya, Matara",2019-09-07,2019-09-08
4.326489287765812e-05,"Deniyaya, Matara",2019-09-09,2019-09-10
4.263753551153884e-05,"Deniyaya, Matara",2019-09-10,2019-09-11
9.165608034246397e-05,"Deniyaya, Matara",2019-09-11,2019-09-12
8.720108094777346e-05,"Deniyaya, Matara",2019-09-12,2019-09-13
7.855770871679348e-05,"Deniyaya, Matara",2019-09-13,2019-09-14
9.165608034246397e-05,"Deniyaya, Matara",2019-09-14,2019-09-15
9.165608034246397e-05,"Deniyaya, Matara",2019-09-15,2019-09-16
9.165608034246397e-05,"Deniyaya, Matara",2019-09-16,2019-09-17
9.165608034246397e-05,"Deniyaya, Matara",2019-09-17,2019-09-18
9.165608034246397e-05,"Deniyaya, Matara",2019-09-18,2019-09-19
9.165608034246397e-05,"Deniyaya, Matara",2019-09-19,2019-09-20
